rank	candidate_id	title	buyer	deadline	value	currency	band	reasons	scope_dce	deep_batch
147	US-SAM:ee57ef652ed149b6a00b74455a06e33a	N065--Replace Warehouse Door #13 and Repair Door #14 at the Jesse Brown VA Medical Center, 820 S Damen Ave, Chicago, IL 60612	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-21T21:00:00+00:00			LOW		RAM EDWOSB 8(A) NAICS: SIZE STANDARD: 11. DELIVERY FOR FOB DESTINA- TION UNLESS BLOCK IS MARKED SEE SCHEDULE 12. DISCOUNT TERMS 13a. THIS CO	batch-014.json
148	US-SAM:939642e2c5ca46b4b04276467b2f3a25	J042--Fire Alarm System Inspection, Testing, Maintenance, and Certification Services at the Bedford VA Medical Center	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-24T16:00:00+00:00			LOW		6C24126Q0613_unpacked/word/webSettings.xml ===== ﻿<?xml version="1.0" encoding="utf-8" standalone="yes"?><w:webSettings xmlns:mc="http://sch	batch-014.json
149	US-SAM:a84097595a9b4d77b76daef6ec9704d3	N065--Replace Warehouse Door #13 and Repair Door #14 at the Jesse Brown VA Medical Center, 820 S Damen Ave, Chicago, IL 60612	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-21T21:00:00+00:00			LOW		RAM EDWOSB 8(A) NAICS: SIZE STANDARD: 11. DELIVERY FOR FOB DESTINA- TION UNLESS BLOCK IS MARKED SEE SCHEDULE 12. DISCOUNT TERMS 13a. THIS CO	batch-014.json
150	US-SAM:7ece020e7ea5434bb114260a5522d07d	Fort Sill Elevator Maintenance Services	DEPT OF DEFENSE	2026-08-20T17:00:00+00:00			LOW		erformance ................................................................................. 2 Fort Sill Access ............................	batch-014.json
151	US-SAM:b1498d8d996245e0b145d0dfa34e604a	N--MORA - LIGHTING RETROFIT IN TAHOMA WOODS APTS	INTERIOR, DEPARTMENT OF THE	2026-08-21T19:00:00+00:00			LOW		combination of both, the domestic content test is applied only to the iron and steel content of the construction materials, excluding COTS f	batch-015.json
152	US-SAM:1c1d604413374e4daec33845294e464a	7195--SOLAR SHADES FOR HOSPICE	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-20T15:00:00+00:00			LOW		e submitted in arrears: a. Quarterly [] b. Semi-Annually [] c. Other [X] Upon receipt of goods and proper submission of invoice. 4. GOVERNME	batch-015.json
153	US-SAM:39f9a82f8e6548b89b198eb441c227a2	Chlorination Systems and Maintenance - FWA	DEPT OF DEFENSE	2026-09-01T20:00:00+00:00			LOW		resident’s Day Veteran’s Day Memorial Day Thanksgiving Day Juneteenth National Independence Day Christmas Day Independence Day 3.4. Hours of	batch-015.json
154	US-SAM:391c00a626c44b17864bd57b8c69fe3a	NV-EDENTON NFH-REPLACE ADMIN BUILDING	INTERIOR, DEPARTMENT OF THE	2026-09-14T18:00:00+00:00			LOW		IMPORTANT - The "offer" section on the reverse must be fully completed by offeror. NOTE: In sealed bid solicitations "offer" and "offeror" m	batch-015.json
155	TED:566968-2026	Netherlands – Test and evaluation – Mobiele kabelassemblage	Ministerie van Defensie	2026-09-16T10:00:00+00:00		EUR	LOW		===== FILE: files/en-GB.json ===== { "str_tender_no_awards": "There are no awards", "str_tender_no_evaluations": "There are no evaluations",	batch-015.json
156	TED:567200-2026	Germany – Structural shell work – Ersatzneubau Mehrzweckhalle Ruhland, Los 3 Rohbau Massiv	Amt Ruhland	2026-09-08T23:59:59+02:00			LOW		hbar sind Ich/Wir erkläre(n), dass ich/wir in den letzten fünf Kalenderjahren bzw. dem in der Auftragsbekanntmachung angegebenen Zeitraum ve	batch-015.json
157	TED:568526-2026	Portugal – Electricity – CPI 0523/2026 - Fornecimento de Energia Elétrica em MT, BTE e BTN para o Ano 2027	EMARP - Empresa Municipal de Águas e Resíduos de Portimão, EM, SA	2026-09-14T17:00:59+00:00	305000.0	EUR	LOW		ntratante já disporá dos documentos em causa. O operador económico autoriza expressamente a autoridade ou entidade adjudicante, conforme ind	batch-015.json
158	ZA_ETENDERS_OCDS:ocds-9t57fa-165613-2026-08-14	RFP/26/27/14	South African Post Office Limited	2026-09-04T11:00:00+00:00		ZAR	LOW		ification questions in writing to South African Post Office Officials mentioned below page 6 item 6. Questions and answers will be uploaded 	batch-015.json
159	ZA_ETENDERS_OCDS:ocds-9t57fa-165672-2026-08-14	RFQ07/08/2026	Enoch Mgijima Local Municipality	2026-08-20T12:00:00+00:00		ZAR	LOW		MANI, 5320 Tel: +27(45) 807 2000 Fax: +27(45) 807 2637 NAME OF BIDDER: _____________________________________________________ CSD NUMBER : __	batch-015.json
160	ZA_ETENDERS_OCDS:ocds-9t57fa-165658-2026-08-14	RFQ17/08/2026	Enoch Mgijima Local Municipality	2026-08-20T12:00:00+00:00		ZAR	LOW		-27 OWEN STREET KOMANI, 5320 Tel: +27(45) 807 2000 Fax: +27(45) 807 2637 NAME OF BIDDER: ___________________________________________________	batch-015.json
161	ZA_ETENDERS_OCDS:ocds-9t57fa-165511-2026-08-13	GMQ108/25-26	George Municipality	2026-08-21T12:00:00+00:00		ZAR	LOW		quotation document MUST be VALID ORIGINAL B-BBEE CERTIFICATES or VALID CERTIFIED COPIES OF B-BBEE CERTIFICATES QUOTATION CLOSES AT 12H00 ON 	batch-016.json
162	ZA_ETENDERS_OCDS:ocds-9t57fa-165474-2026-08-13	AGRISETA/2026/05	Agricultural Sector Education and Training Authority	2026-09-10T11:00:00+00:00		ZAR	LOW		2) copies and one (1) soft copy (in a memory stick) of their bid proposal. Price Proposals must be submitted separately from the technical p	batch-016.json
163	ZA_ETENDERS_OCDS:ocds-9t57fa-165492-2026-08-13	RFQ 30121 Re-issue	Airports Company of South Africa	2026-08-24T13:00:00+00:00		ZAR	LOW		1 Jones Road, Kempton Park, Gauteng, South Africa, 1632 P O Box 75480, Gardenview, Gauteng, South Africa, 2047 www.airports.co.za Airports C	batch-016.json
164	ZA_ETENDERS_OCDS:ocds-9t57fa-165782-2026-08-17	RFQ 05/08/2026	Kwa-Zulu Natal - Ezemvelo KwaZulu-Natal Wildlife	2026-08-24T11:00:00+00:00		ZAR	LOW		/OR POSSIBLE CANCELLATION OF THE CONTRACT THAT MAY BE AWARDED ON THE BASIS OF THIS BID. ....................................................	batch-016.json
165	ZA_ETENDERS_OCDS:ocds-9t57fa-165392-2026-08-12	EWSETA/RFQ/024/2026-27	Energy and Water Sector Education and Training Authority	2026-08-20T13:00:00+00:00		ZAR	LOW		Programmes (LP) Administrators are required to strengthen operational efficiency, improve service delivery, ensure regulatory compliance, an	batch-016.json
166	US-SAM:5a9f816204a24a429a272cdedd42371d	Awning Canvas Replacement - U.S. Embassy Caracas	STATE, DEPARTMENT OF	2026-09-14T16:00:00+00:00			LOW		s shall be registered in the SAM (System for Award Management) database at https://www.sam.gov prior to submittal of their offer/proposal as	batch-016.json
167	US-SAM:c122b97058264a799e5597ff7d2531d1	Swimming Pool Maintenance Services	STATE, DEPARTMENT OF	2026-08-31T15:00:00+00:00			LOW		e considered non -responsible and no further consideration will be given. Therefore, offerors are highly encouraged to register immed iately	batch-016.json
168	US-SAM:5958294457b74280b0605b5a1975c2b8	Fire suppression system installation	AGRICULTURE, DEPARTMENT OF	2026-08-25T17:00:00+00:00			LOW		ed, and a separate written solicitation will not be issued. Solicitation number is issued as a Request for Quotations. Award will be made on	batch-016.json
169	US-SAM:7a5d5e5da2be46d9b543e80f9097d705	7195--VA AMLK/ PUGET SOUND ACOUSTIC/PRIVACY PANELS	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-28T19:00:00+00:00			LOW		payments by the Government to the contractor will be made in accordance with: 3. INVOICES: Invoices shall be submitted in arrears: a. Quarte	batch-016.json
170	US-SAM:54738e204ebc4abcb668ce36494dcbde	6515--EVOLVE SCOPE CABINET AP: 36C252-26-AP-3608 PR: 578-26-4-1339-1503 PO:	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-26T15:00:00+00:00			LOW		cified for receipt of offers is “late” and will not be considered unless it is received before award is made and the Contracting Officer det	batch-016.json
171	US-SAM:3450db34792a48c08e9a9cd3177da533	Fire suppression system installation	AGRICULTURE, DEPARTMENT OF	2026-08-25T17:00:00+00:00			LOW		ed, and a separate written solicitation will not be issued. Solicitation number is issued as a Request for Quotations. Award will be made on	batch-017.json
172	US-SAM:8b6498cd8e1f4b4c9244c4400a6fe7c9	6530--Surgical Lights for Operating Room	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-26T17:00:00+00:00			LOW		OWNED SMALL BUSINESS PROGRAM EDWOSB 8(A) NAICS: SIZE STANDARD: 11. DELIVERY FOR FOB DESTINA- TION UNLESS BLOCK IS MARKED SEE SCHEDULE 12. DI	batch-017.json
173	US-SAM:52066db8263743069496170007c11d39	6530--PROCUITY LE COMFORT GEL BEDS	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-25T14:00:00+00:00			LOW		acceptance of the equipment. Delivery shall be completed within 120 calendar days after receipt of order unless otherwise approved by the Co	batch-017.json
174	US-SAM:4865e5ec154b4a8084d17594b0e161f4	Hamilton Safe Repairs	HOMELAND SECURITY, DEPARTMENT OF	2026-08-25T00:00:00+00:00			LOW		ate. Submittals shall be provided no later than 10 days from award. The performance period is mandatory. Offers submitted must be valid for 	batch-017.json
175	US-SAM:c7d83c09eb3041ac91f8d353aa5a38cb	6525--Sonosite MT Ultrasound System	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-19T19:00:00+00:00			LOW		accordance with VAAR Clause 852.232-72 Electronic Submission of Payment Requests. ACKNOWLEDGMENT OF AMENDMENTS: The offeror acknowledges rec	batch-017.json
176	US-SAM:73f6f703d42d4508833d05ae2810aac3	4310--VA-26-00071445/659-26-3-6048-0208 TEMP REQUEST MM1402-VACUUM PUMP	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-21T15:00:00+00:00			LOW		[] c. Other [x] Upon Delivery and Acceptance 4. GOVERNMENT INVOICE ADDRESS: All Invoices from the contractor shall be submitted electronical	batch-017.json
177	US-SAM:0dc82ae453d747828f406a496d9dd386	Z--SANTA ELENA GUARDHOUSE LEAD PAINT REMEDIATION AT S	INTERIOR, DEPARTMENT OF THE	2026-08-24T17:00:00+00:00			LOW		Credentials APPENDIX II - PCS Data Sheet APPENDIX III - XRF Data APPENDIX IV - Site Location and Selective Photos APPENDIX V - Schematic Dis	batch-017.json
178	US-SAM:6a3a10f178b541fa8dba266201703ed3	Purchase NSN 5180013414030, TUBE FITTING TOOL KIT	GENERAL SERVICES ADMINISTRATION	2026-08-24T21:00:00+00:00			LOW		____________________________________Title________________________________ Phone: _________________________________ Fax: ____________________	batch-017.json
179	US-SAM:6e1815b7cf7f4c18aa99e7014acc01f3	Emergency Intake Facility and Wrap Around Services for Unaccompanied Alien Children	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-08-19T16:00:00+00:00			LOW		t its permanent bed capacity. These EIF sites will allow ORR to accept referrals from the Department of Homeland Security (U.S. Border Patro	batch-017.json
180	US-SAM:df337e0c2f8f4c50b7d833fa684cbe7a	N--REPLACE BOILER BURNERS	INTERIOR, DEPARTMENT OF THE	2026-08-24T23:00:00+00:00			LOW		SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect calls) 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. RATING 14. MET	batch-017.json
181	US-SAM:afe8775691b94c8e98e02055d1ab0116	J--GWMP - BACKUP GENERATOR REPLACE/REPAIR	INTERIOR, DEPARTMENT OF THE	2026-08-24T16:00:00+00:00			LOW		===== FILE: files/B08_Attachment_1-Statement_of_Work.pdf ===== STATEMENT OF WORK (SOW) GWMP Emergency Generator Inspection, Testing, and Pre	batch-018.json
182	US-SAM:075fa3a121f9447980af734d442a8c1a	61--UNITROL 6800-Exciter HMI & Firmware Upgrade	INTERIOR, DEPARTMENT OF THE	2026-08-26T16:00:00+00:00			LOW		3 of 3 PRICE SCHEDULE Line Item No. Supplies/Services UNITROL 6800 - Exciter HMI & Firmware Upgrade Qty Unit Unit Price (U.S. Dollars) Amoun	batch-018.json
183	US-SAM:f2af6992fa4744b8a432023aa15c0a2a	GIMC - Air Quality Testing	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-08-21T23:00:00+00:00			LOW		OW ISSUE DATE DELIVERY FOR FREE ON BOARD (FOB) DESTINATION UNLESS BLOCK IS MARKED 11. SEE SCHEDULEX 12. DISCOUNT TERMS THIS CONTRACT IS A RA	batch-018.json
184	US-SAM:057d98c6192e4660a664ed25f54bf752	Z--AK-KENAI NWR-SKI HILL ROAD RESTORATION	INTERIOR, DEPARTMENT OF THE	2026-08-31T22:00:00+00:00			LOW		IMPORTANT - The "offer" section on the reverse must be fully completed by offeror. NOTE: In sealed bid solicitations "offer" and "offeror" m	batch-018.json
185	US-SAM:a0f4165a7f334a9fa16f988e5733817c	DSS Infusion Therapy Manager IDIQ	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-19T14:00:00+00:00			LOW		RED. 1. On the combined synopsis document it references to see the delivery schedule locations in Section B8 of the solicitation, however, n	batch-018.json
186	TED:566991-2026	Germany – Firefighting vehicles – Beschaffung eines Wechselladerfahrzeuges	Stadtverwaltung Gotha	2026-09-23T10:00:00+02:00			LOW		s 25 May 2018 Verlag Schawe GmbH Buchforststr. 1-15 Tel. +49 (0) 221/9 85 78-0 Fax +49 (0) 221/9 85 78-66 info@subreport.de www.subreport.de	batch-018.json
187	TED:569270-2026	Germany – Installation of fitted kitchens – Greutschule Neubau Ganztagesbetreuung: küchentechnische Einrichtung	Stadtverwaltung Aalen - Hochbauamt	2026-10-06T10:00:00+02:00			LOW		s 25 May 2018 Verlag Schawe GmbH Buchforststr. 1-15 Tel. +49 (0) 221/9 85 78-0 Fax +49 (0) 221/9 85 78-66 info@subreport.de www.subreport.de	batch-018.json
188	TED:566333-2026	Germany – Screed works – Estricharbeiten - Neubau Kita und Bürogebäude Melaten	RWTH Aachen University	2026-09-03T23:59:59+02:00			LOW		clpadfb3 \clpadl20 \clpadfl3 \clpadr20 \clpadfr3 \clbrdrt \clbrdrb \clbrdrr \trql \clvertalt \cellx9595 \intbl {\b1 \cf1 \fi0 \f0 \ri0 \i0 \	batch-018.json
189	TED:569221-2026	Germany – Plumbing and sanitary works – Sanitär Röntgen-Gymnasium Remscheid	Stadt Remscheid, Fachdienst Recht und Vergabe, Abteilung Zentrale Vergabestelle	2026-09-07T23:59:59+02:00			LOW		einem/unserem Teilnahmeantrag eine Referenzliste bei. | Ich/Wir erkläre(n), dass ich/wir in den letzten fünf Kalenderjahren bzw. dem in der 	batch-018.json
190	TED:566554-2026	Germany – Engineering services – Ersatzneubau Kombibad Saarburg, Los 2 - Tragwerksplanung	Verbandsgemeinde Saarburg-Kell	2026-08-31T10:00:00+02:00			LOW		den ausführenden Unternehmern und den sonstigen an der Überwachung fachlich Beteiligten (Fachbauleiter etc.) zu erteilen. 3.2 Der AN ist gru	batch-018.json
191	TED:567580-2026	Germany – Refuse skips – Lieferung von Zwei- und Vierradbehältern	AWIGO Abfallwirtschaft Landkreis Osnabrück GmbH	2026-08-28T12:00:00+02:00			LOW		künfte in angemessenem Umfang zu erteilen. (3) Betriebs - und Geschäftsgeheimnisse des Auftragnehmers sind hierbei angemessen zu schützen. §	batch-019.json
192	TED:552625-2026	Lithuania – Special-purpose motor vehicles – IP_Šaligatvių valymo vakuuminė mašina	UAB "Kauno švara"	2026-09-14T10:00:00+03:00			LOW		Ekonominės veiklos vykdytojai oficialiai sutinka perkančiąjai organizacijai ar perkančiajam subjektui, nurodytam I dalyje, leisti susipažint	batch-019.json
193	TED:569626-2026	Poland – Backup or recovery software package – Dostawa sprzętu oraz licencji do przechowywania kopii zapasowych wraz z przedłużeniem wsparcia, gwarancji i licencji do systemu kopii zapasowyc	Centrum Unijnych Projektów Transportowych	2026-08-25T09:00:00+02:00	2731755.96	PLN	LOW		ż fizycznie zajmują na macierzy. Dane fizycznie alokowane są dopiero w momencie zapisu. Compression - Kompresja danych wykonywana w locie lu	batch-019.json
194	US-SAM:4e850278218043d8bb68bdc1eee3b65d	FMC Rochester FY27 1st Qtr Subsistence	JUSTICE, DEPARTMENT OF	2026-08-27T22:00:00+00:00			LOW		E (RFQ) INVITATION FOR BID (IFB) REQUEST FOR PROPOSAL (RFP) 14. METHOD OF SOLICITATION CODE15. DELIVER TO CODE 15B41216. ADMINISTERED BY Fed	batch-019.json
195	EE-RHR:e96c0aa9-9562-4cf8-8c33-893f715ed3a5	EMSUKA ja murrete tööriistade raamhange	Riigi Tugiteenuste Keskus	2026-09-14T08:00:00+00:00	200000.0	EUR	LOW		===== FILE: files/files_unpacked/310813_ESPD_v2.0_laiendatud.xml ===== <?xml version="1.0" encoding="UTF-8"?> <QualificationApplicationReque	batch-019.json
196	PL-BZP:08defcfd-f5bb-fb31-962b-12000115c5c8	Odnowa Nawierzchni DW 272 na odc. Belno - Sulnowo od km 7+155 do km 9+355 dł. 2,200 km	Województwo Kujawsko - Pomorskie, Pl. Teatralny 2, 87-100 Toruń	2026-09-02T07:45:00+00:00			LOW			batch-019.json
197	US-SAM:65b71c66612f4b0e815dbba65205d9ce	Digital Trace Oxygen Analyzer	DEPT OF DEFENSE	2026-08-20T17:00:00+00:00			LOW		, Contract Specialist; henry.agee@us.af.mil Contact Point(s): Jennifer Blackford, Contracting Officer; jennifer.blackford@us.af.mil Descript	batch-019.json
198	US-SAM:d18e193aa97747eeabbd316cd9bd4501	Corneal Analyzer OPD-Scan III Wavefront Aberrometer	VETERANS AFFAIRS, DEPARTMENT OF	2026-09-20T14:00:00+00:00			LOW		===== FILE: files/SOW_Marco.docx ===== General Conditions and Statement of Work Introduction The San Francisco VA Health Care System has a r	batch-019.json
199	US-SAM:0a82e895d6e049c99c9f5fc336b80f8c	2B MPDE GVNR; repair	DEPT OF DEFENSE	2026-09-01T01:00:00+00:00			LOW		===== FILE: files/38KFA23320_00_A01.pdf ===== Ship/HULL NO. Ship/HULL NAME i ICN: ! Rev: Key Op: LPD-18 USS NEW ORLEANS JON: 38KFA23320 A01 	batch-019.json
200	TED:567356-2026	Germany – Transport services (excl. Waste transport) – Beschaffung von Fahrdienstleistungen zur Schülerbeförderung Heilpädagogische Tagesstätten (HPT) Ebersberg (Los 1) und Markt Schwaben (L	Landkreis Ebersberg	2026-09-16T10:00:00+02:00			LOW		===== FILE: files/Alle_20Vergabeunterlagen_20AV279AEC-EU_unpacked/Automatisierte Nachträge/FristAenderung_26_08_14_09_11_17.pdf ===== [PDF_E	batch-019.json
201	TED:570848-2026	Denmark – Research and development services and related consultancy services – EEA/CCE/TC/26/010 - Topic Centre on Climate Risk and Resilience: Knowledge Development	European Environment Agency (EEA)	2026-09-09T23:59:59+02:00	1900000.0	EUR	LOW		.................................................................... 42 II.24. Checks and audits ...........................................	batch-020.json
202	US-SAM:1074b20df5be4ba687c763c5d87d780d	Crane Services with Operator IDIQ	TRANSPORTATION, DEPARTMENT OF	2026-08-24T19:00:00+00:00			LOW		NE (NO COLLECT CALLS) AREA CODE NUMBER EXT. C. E-MAIL ADDRESS 10. TABLE OF CONTENTS (X) DESCRIPTION PAGE(S) (X) SEC. PAGE(S)DESCRIPTION A B 	batch-020.json
203	US-SAM:bc422fefbc154668be42dab203fd97e9	Los Pinos DxP IRSC - Pagosa Ranger District, San Juan National Forest	AGRICULTURE, DEPARTMENT OF	2026-08-20T20:00:00+00:00			LOW		1400 INDEPENDENCE AVE SW 9. ISSUED BY 7. 2. CONTRACT NO. EFFECTIVE DATE 500 18b. SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK 	batch-020.json
204	US-SAM:4cfaa589a85c451daafd3431cb545e74	Installation of Instron Machine	DEPT OF DEFENSE	2026-08-19T20:00:00+00:00			LOW		ction of Existing Vegetation, Structures, Equipment, Utilities, and Improvements 52.236-10 Operations and Storage Areas 52.236-12 Cleaning U	batch-020.json
205	US-SAM:5f9bf707448c4f048ed86aa98891718f	National Museum of the United States Air Force (NMUSAF) Artwork Packaging, Transportation, and Delivery	DEPT OF DEFENSE	2026-08-21T18:00:00+00:00			LOW		SEE SCHEDULE 12. DISCOUNT TERMS 13a.THIS CONTRACT IS A RATED ORDER UNDER THE DEFENSE PRIORITIES AND ALLOCATIONS SYSTEM-DPAS (15 CFR 700) 13b	batch-020.json
206	US-SAM:02838d3d26b541f0b099b34aa97bdc16	Morgantown Field Office (MFO) Insect Taxonomy Support	AGRICULTURE, DEPARTMENT OF	2026-08-31T09:00:00+00:00			LOW		D OR 97204-2829 STE 310 1220 SW 3RD AVE 9. ISSUED BY 7. 2. CONTRACT NO. EFFECTIVE DATE $11.5 18b. SUBMIT INVOICES T O ADDRESS SHOWN IN BLOCK	batch-020.json
207	US-SAM:e162daea769245749ed75ae90ab389a9	Bi-Directional Amplifier (BDA) System Upgrade and Monthly Scheduled Preventative Maintenance, Repair, Calibration and Remedial Service	DEPT OF DEFENSE	2026-09-07T21:00:00+00:00			LOW		investigation results, reasons for a response, remedial actions taken and preventative actions to prevent a recurrence. Contractors must not	batch-020.json
208	US-SAM:b0612d08cb864f8281b00d5bce2377f2	B--Senior C++ programmer to modify the COMPASS model	COMMERCE, DEPARTMENT OF	2026-08-21T19:00:00+00:00			LOW		===== FILE: files/Attachment_01_-_Statement_of_Work_08_06_2026.pdf ===== Statement of Work Requisition 143041-26-0066 The NWFSC Fish Ecology	batch-020.json
209	TED:557790-2026	Germany – Public road transport services – Busverkehrsleistungen auf der VGN-Linie - Linienbündel 1a (63/64)	Landkreis Fürth	2026-08-25T10:00:00+02:00	-1.0	EUR	LOW		nicht. Frage2: Die Haltestelleneinrichtung soll übernommen werden und dann nach Vertragsende kostenfrei dem Landratsamt überlassen werden. G	batch-020.json
210	US-SAM:82905f75f8284524a0f44ed58ca6b4f9	Amend 05 ACB Inmate Call Monitoring W91QF4-26-Q-A021	DEPT OF DEFENSE	2026-08-26T19:00:00+00:00			LOW	transcription,training-course	NUMBER 10B. DATED (SEE ITEM 13) CODE FACILITY CODE SF 30 BLOCK 14 CONTINUATION PAGE SUMMARY OF CHANGES Solicitation/Contract Form Continuati	batch-020.json
211	US-SAM:9a2cba113d944326a0d2c8b81fb66016	Propane for Jeehdeez'a Elementary School	INTERIOR, DEPARTMENT OF THE	2026-08-24T22:00:00+00:00			LOW		SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect calls) 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. RATING 14. MET	batch-021.json
212	TED:569116-2026	Germany – Rechargers – Los 3: KFZ-Ladestationen DC 300 kW	ENTEGA Plus GmbH	2026-09-14T09:00:00+02:00			LOW		s 25 May 2018 Verlag Schawe GmbH Buchforststr. 1-15 Tel. +49 (0) 221/9 85 78-0 Fax +49 (0) 221/9 85 78-66 info@subreport.de www.subreport.de	batch-021.json
213	US-SAM:84a4a794d5c747c49145356a31ac1c28	Typhoon Green Waste and Natural Debris Collection and Disposal	DEPT OF DEFENSE	2026-08-24T02:00:00+00:00			LOW		................. 3 3 GENERAL INFORMATION ..................................................................................................	batch-021.json
214	US-SAM:9f3a3f6aa84c41a98d9ee1a633d80838	Dehumidification Carts for Multiple USCG Airframes	HOMELAND SECURITY, DEPARTMENT OF	2026-08-26T18:00:00+00:00			LOW		offers is “late” and will not be considered unless it is received before award is made and the Contracting Officer determines that accepting	batch-021.json
215	US-SAM:c798f4e851204c99ac77af6b21136574	Amendment 2 - Questions, Answers and Boiler Info Attachment - Parker Indian Health Center Boiler Repair Services	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-08-25T20:00:00+00:00			LOW		is being conducted under 238220 – Plumbing, Heating, and Air-Conditioning Contractors. The anticipated contract type is a Firm-Fixed-Price (	batch-021.json
216	US-SAM:72bc36222dd840cfbc63a781c0511d11	FY26 OTS Rappel Tower Demolition Service	DEPT OF DEFENSE	2026-08-24T21:00:00+00:00			LOW		===== FILE: files/Attachment_2_-_Provisions_and_Clauses.pdf ===== Page 1 of 8 DOCUMENT NUMBER F2X3C56147AC01 CLAUSES INCORPORATED BY REFEREN	batch-021.json
217	TED:567621-2026	Germany – Natural gas – Erdgasausschreibung (Stadt Wassenberg)	KWL mbH	2026-09-17T11:00:00+02:00			LOW		: Donnerstag, den 17.09.2026, 11:00 Uhr E-Vergabe: Vergabeplattform BI-Medien Zuschlagsfrist endet am: Freitag, den 09.10.2026 Freitag, 14. 	batch-021.json
218	TED:567570-2026	Germany – Electrotechnical equipment – KWK-138 DT-Anlage MVA Weisweiler - Los 410 Hauptleittechnik	MVA Weisweiler GmbH & Co. KG	2026-09-03T23:59:00+02:00			LOW		s 25 May 2018 Verlag Schawe GmbH Buchforststr. 1-15 Tel. +49 (0) 221/9 85 78-0 Fax +49 (0) 221/9 85 78-66 info@subreport.de www.subreport.de	batch-021.json
219	TED:567166-2026	Germany – Vehicle towing-away services – Rahmenvereinbarungen zu Abschleppleistungen und Sicherstel-lungen von Fahrzeugen für die Kreispolizeibehörde Unna	Kreispolizeibehörde Unna	2026-09-02T23:59:59+02:00			LOW		fähigkeit die Kapazitäten eines anderen Unternehmens (Eignungsleihe nach § 47 VgV) in Anspruch zu nehmen, sind diese Unternehmen zusammen mi	batch-021.json
220	US-SAM:452cf0b08a0c434e8e925462ea9cdfa7	7H20--VERTEX 25EI AUTOMATIC CD BURNER - PACS SYSTEM "BRAND NAME ONLY". OEM LETTER FROM THE MANUFACTURER IS REQUIRED. IF NO OEM LETTER VENDOR WILL BE CONSIDERED NON-RESPONSIVE.	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-21T19:00:00+00:00			LOW		ors must be verified in the SBA Small Business Search Database: https://search.certifications.sba.gov/, at the time of receipt of quotes and	batch-021.json
221	US-SAM:70555840253843769584d3b0c29b06e7	ISBEE/IEE Set Aside Compute Servers and Network Switches	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-09-04T19:00:00+00:00			LOW		e with part 12. This announcement constitutes the only solicitation. Offers are being requested and a separate written solicitation will not	batch-022.json
222	ZA_ETENDERS_OCDS:ocds-9t57fa-165785-2026-08-17	H004L2708RFQ00131	Border Management Authority	2026-08-19T11:00:00+00:00		ZAR	LOW		===== FILE: files/FINAL BMA QUOTE PACK AUG 2026 - RFQ00131.pdf ===== DESCRIPTION: PROVISIONING OF INTERNET SERVICES FOR APP SYSTEM RFQ NUMBE	batch-022.json
223	ZA_ETENDERS_OCDS:ocds-9t57fa-165356-2026-08-12	KZNGFA-RFQ 2026 -10	KZN Growth Fund Trust	2026-08-25T12:00:00+00:00		ZAR	LOW		network point Reception 3rd floor 1 150m HR Dept. 4th floor 1 Office of the CEO 4th floor 1 Projects & Investment Dept. 3rd floor 2 Risk & C	batch-022.json
224	ZA_ETENDERS_OCDS:ocds-9t57fa-165724-2026-08-14	RFQ/SAEON/GRASSLAND/TUBES/123/2026	National Research Foundation	2026-08-19T11:00:00+00:00		ZAR	LOW		===== FILE: files/RFQ Laboratory Tubes.pdf ===== RFQ/SAEON/GRASSLAND/TUBES/123/2026 Page 1 of 21 Ver. Standard 2018-6b Invitation to Quote Y	batch-022.json
225	ZA_ETENDERS_OCDS:ocds-9t57fa-165563-2026-08-13	RFQ 202047	The South African Bureau of Standards (SABS)	2026-08-19T11:00:00+00:00		ZAR	LOW		ose by the Bidder other than for developing their response to it, and all reasonable efforts must be taken by the Bidder to ensure confident	batch-022.json
